time,Index,Throttle_PWM,Steering_PWM
12:03:15:242504,186,117,175
12:03:15:440058,187,116,153
12:03:15:651352,188,117,84
12:03:15:871467,189,117,59
12:03:16:088312,190,117,59
12:03:16:316168,191,117,77
12:03:16:540378,192,99,102
12:03:16:746744,193,109,144
12:03:16:960220,194,115,153
12:03:17:162817,195,116,180
12:03:17:382494,196,117,181
12:03:17:595819,197,118,171
12:03:17:808903,198,118,166
12:03:18:029410,199,117,168
12:03:18:232516,200,118,173
12:03:18:446551,201,111,180
12:03:18:646044,202,118,151
12:03:18:880589,203,121,150
12:03:19:088053,204,121,161
12:03:19:315858,205,121,103
12:03:19:539452,206,121,84
12:03:19:743868,207,121,84
12:03:19:955479,208,97,84
12:03:20:173026,209,108,120
12:03:20:385321,210,110,170
12:03:20:605779,211,115,180
12:03:20:831568,212,121,167
12:03:21:036279,213,121,157
12:03:21:247308,214,122,136
12:03:21:464283,215,103,163
12:03:21:676924,216,98,163
12:03:21:876718,217,111,182
12:03:22:085994,218,117,182
12:03:22:306037,219,119,170
12:03:22:499242,220,119,164
12:03:22:709812,221,119,141
12:03:22:918872,222,113,67
12:03:23:141273,223,119,67
12:03:23:345195,224,120,69
12:03:23:551100,225,121,79
12:03:23:759519,226,106,147
12:03:23:988852,227,116,165
12:03:24:206173,228,119,168
12:03:24:427873,229,119,168
12:03:24:639960,230,117,168
12:03:24:860215,231,117,171
12:03:25:089915,232,118,170
12:03:25:297856,233,118,170
12:03:25:529187,234,119,167
12:03:25:749878,235,119,154
12:03:25:972582,236,119,84
12:03:26:178861,237,119,84
12:03:26:380087,238,110,84
12:03:26:586089,239,96,84
12:03:26:805815,240,109,102
12:03:27:013853,241,114,146
12:03:27:235573,242,117,138
12:03:27:448165,243,119,143
12:03:27:645389,244,115,168
12:03:27:838930,245,113,177
12:03:28:056463,246,120,164
12:03:28:264658,247,120,156
12:03:28:482749,248,113,168
12:03:28:683839,249,114,179
12:03:28:886606,250,116,178
12:03:29:112790,251,119,171
12:03:29:322059,252,119,136
12:03:29:539954,253,116,84
12:03:29:755637,254,116,58
12:03:29:973609,255,115,58
12:03:30:212288,256,119,74
12:03:30:410694,257,116,116
12:03:30:653205,258,114,151
12:03:30:890968,259,119,166
12:03:31:134659,260,119,173
12:03:31:343707,261,114,178
12:03:31:552580,262,118,179
12:03:31:774679,263,119,161
12:03:31:993873,264,120,163
12:03:32:215937,265,119,162
12:03:32:438770,266,120,151
12:03:32:662628,267,121,122
12:03:32:881792,268,118,111
12:03:33:112059,269,120,81
12:03:33:344565,270,98,81
12:03:33:556744,271,93,100
12:03:33:797130,272,111,157
12:03:34:002423,273,116,179
12:03:34:197884,274,119,173
12:03:34:405686,275,119,163
12:03:34:632626,276,119,154
12:03:34:837638,277,119,156
12:03:35:053030,278,112,165
12:03:35:261484,279,113,176
12:03:35:485189,280,119,170
12:03:35:705635,281,118,163
12:03:35:917080,282,119,128
12:03:36:134377,283,119,83
12:03:36:349742,284,111,62
12:03:36:568767,285,118,64
12:03:36:773041,286,119,67
12:03:36:997735,287,109,108
12:03:37:209874,288,115,153
12:03:37:435302,289,119,167
12:03:37:660530,290,119,175
12:03:37:873314,291,119,170
12:03:38:103825,292,119,170
12:03:38:317323,293,119,162
12:03:38:531416,294,119,161
12:03:38:758160,295,119,158
12:03:38:965221,296,119,154
12:03:39:198211,297,119,90
12:03:39:411527,298,119,84
12:03:39:617182,299,103,80
12:03:39:843380,300,97,85
12:03:40:077281,301,109,112
12:03:40:302313,302,114,168
12:03:40:518623,303,116,170
12:03:40:734190,304,119,168
12:03:40:947053,305,119,168
12:03:41:155054,306,119,161
12:03:41:374498,307,119,161
12:03:41:593024,308,116,165
12:03:41:812637,309,117,168
12:03:42:044074,310,117,168
12:03:42:249058,311,116,165
12:03:42:456558,312,118,126
12:03:42:681972,313,109,32
12:03:42:914810,314,119,63
12:03:43:144819,315,121,77
12:03:43:376183,316,114,102
12:03:43:616416,317,106,181
12:03:43:869132,318,118,181
12:03:44:107613,319,119,165
12:03:44:332571,320,120,165
12:03:44:549791,321,115,181
12:03:44:789536,322,119,162
12:03:44:997785,323,119,169
12:03:45:216515,324,120,174
12:03:45:452359,325,121,156
12:03:45:668701,326,121,101
12:03:45:911432,327,121,86
12:03:46:139423,328,98,76
12:03:46:363260,329,114,81
12:03:46:586439,330,114,93
12:03:46:811001,331,117,126
12:03:47:043992,332,114,154
12:03:47:255573,333,114,163
12:03:47:466749,334,113,170
12:03:47:682415,335,112,176
12:03:47:904049,336,118,151
12:03:48:110632,337,121,142
12:03:48:333594,338,116,158
12:03:48:549729,339,112,165
12:03:48:771621,340,117,169
12:03:49:052573,341,119,158
12:03:49:287670,342,120,130
12:03:49:517566,343,111,61
12:03:49:720924,344,119,72
12:03:49:925447,345,121,72
12:03:50:147684,346,113,74
12:03:50:362639,347,101,144
12:03:50:600337,348,114,166
12:03:50:841353,349,121,178
12:03:51:061058,350,121,176
12:03:51:296716,351,122,171
12:03:51:513168,352,111,168
12:03:51:748052,353,119,168
12:03:52:004430,354,120,166
12:03:52:237157,355,120,154
12:03:52:470094,356,120,98
12:03:52:692256,357,120,88
12:03:52:910346,358,105,85
12:03:53:137727,359,97,93
12:03:53:374341,360,114,133
12:03:53:620411,361,119,140
12:03:53:840630,362,119,137
12:03:54:050940,363,109,153
12:03:54:292925,364,116,163
12:03:54:537776,365,119,171
12:03:54:754915,366,119,170
12:03:54:993626,367,104,170
12:03:55:220015,368,109,170
12:03:55:442611,369,118,170
12:03:55:704790,370,120,155
12:03:55:929132,371,120,100
12:03:56:161999,372,114,76
12:03:56:407780,373,120,79
12:03:56:665434,374,121,79
12:03:56:890416,375,105,135
12:03:57:120203,376,110,173
12:03:57:338733,377,119,180
12:03:57:556173,378,119,167
12:03:57:775779,379,116,162
12:03:57:986746,380,118,161
12:03:58:225521,381,119,160
12:03:58:464795,382,119,161
12:03:58:695335,383,119,161
12:03:58:907243,384,121,154
12:03:59:146973,385,120,105
12:03:59:383305,386,120,89
12:03:59:603089,387,119,73
12:03:59:839126,388,97,85
12:04:00:072698,389,112,133
12:04:00:288398,390,118,144
12:04:00:507533,391,120,154
12:04:00:720762,392,110,168
12:04:00:945072,393,111,170
12:04:01:153317,394,119,154
12:04:01:394633,395,121,145
12:04:01:621420,396,119,166
12:04:01:863332,397,119,175
12:04:02:070133,398,119,173
12:04:02:284173,399,119,140
12:04:02:499264,400,114,86
12:04:02:734525,401,119,67
12:04:02:985960,402,119,63
12:04:03:224500,403,98,72
12:04:03:488090,404,103,158
12:04:03:717393,405,119,167
12:04:03:941328,406,121,174
12:04:04:169246,407,117,180
12:04:04:412858,408,121,176
12:04:04:650154,409,121,171
12:04:04:904652,410,121,166
12:04:05:139127,411,120,166
12:04:05:381209,412,121,143
12:04:05:614309,413,122,99
12:04:05:840959,414,121,84
12:04:06:088081,415,100,77
12:04:06:311279,416,99,84
12:04:06:523499,417,109,101
12:04:06:751942,418,118,156
12:04:06:974865,419,123,159
12:04:07:178949,420,123,158
12:04:07:402084,421,124,152
12:04:07:624939,422,124,151
12:04:07:848953,423,98,161
12:04:08:076486,424,111,170
12:04:08:304354,425,118,179
12:04:08:543318,426,121,177
12:04:08:771443,427,111,160
12:04:08:990299,428,118,112
12:04:09:216664,429,117,62
12:04:09:453664,430,118,63
12:04:09:690949,431,118,60
12:04:09:920838,432,108,88
12:04:10:140424,433,114,159
12:04:10:400931,434,116,178
12:04:10:626773,435,119,179
12:04:10:865728,436,119,179
12:04:11:096688,437,117,179
12:04:11:317224,438,119,176
12:04:11:550048,439,121,165
12:04:11:813269,440,121,140
12:04:12:037153,441,121,144
12:04:12:256890,442,107,140
12:04:12:478917,443,121,84
12:04:12:716795,444,118,72
12:04:12:964885,445,90,78
12:04:13:205073,446,99,110
12:04:13:452560,447,115,152
12:04:13:691027,448,116,158
12:04:13:935540,449,111,166
12:04:14:158836,450,110,182
12:04:14:386043,451,118,179
12:04:14:615966,452,121,135
12:04:14:868305,453,117,153
12:04:15:110703,454,116,180
12:04:15:331754,455,117,170
12:04:15:568095,456,111,115
12:04:15:807115,457,115,169
12:04:16:025755,458,119,157
12:04:16:260381,459,121,76
12:04:16:498340,460,115,58
12:04:16:723814,461,121,63
12:04:16:963911,462,121,74
12:04:17:210290,463,106,126
12:04:17:426013,464,115,153
12:04:17:680672,465,119,172
12:04:17:946289,466,119,173
12:04:18:175611,467,119,173
12:04:18:406223,468,119,170
12:04:18:629757,469,119,163
12:04:18:857159,470,118,165
12:04:19:097276,471,119,161
12:04:19:324161,472,119,131
12:04:19:539343,473,114,85
12:04:19:741347,474,116,84
12:04:19:993960,475,96,84
12:04:20:210530,476,96,98
12:04:20:437280,477,116,134
12:04:20:685400,478,116,168
12:04:20:937321,479,120,158
12:04:21:160319,480,121,158
12:04:21:391741,481,117,152
12:04:21:618314,482,114,158
12:04:21:866472,483,114,173
12:04:22:116519,484,115,177
12:04:22:338155,485,116,177
12:04:22:556458,486,116,174
12:04:22:788898,487,117,116
12:04:23:034732,488,116,70
12:04:23:267056,489,117,74
12:04:23:486066,490,117,72
12:04:23:726207,491,111,110
12:04:23:954396,492,116,152
12:04:24:176321,493,119,166
12:04:24:415952,494,101,177
12:04:24:660067,495,117,175
12:04:24:896544,496,121,158
12:04:25:127581,497,121,154
12:04:25:357763,498,115,170
12:04:25:608720,499,119,175
12:04:25:847582,500,121,135
12:04:26:093471,501,121,126
12:04:26:336620,502,119,80
12:04:26:589067,503,113,77
12:04:26:845427,504,98,102
12:04:27:104297,505,116,145
12:04:27:337219,506,117,158
12:04:27:558943,507,109,159
12:04:27:770658,508,116,161
12:04:28:030730,509,119,161
12:04:28:265256,510,120,161
12:04:28:503020,511,106,172
12:04:28:728188,512,111,182
12:04:28:950166,513,116,181
12:04:29:209708,514,119,150
12:04:29:426955,515,119,160
12:04:29:647285,516,114,117
12:04:29:862927,517,119,73
12:04:30:095928,518,119,67
12:04:30:368031,519,119,65
12:04:30:622042,520,107,82
12:04:30:844808,521,111,149
12:04:31:087770,522,120,156
12:04:31:320402,523,122,166
12:04:31:539642,524,113,175
12:04:31:788971,525,121,168
12:04:32:051327,526,115,168
12:04:32:325506,527,119,169
12:04:32:596068,528,120,163
12:04:32:845748,529,121,105
12:04:33:077954,530,121,85
12:04:33:331425,531,115,94
12:04:33:593316,532,96,105
12:04:33:826212,533,111,114
12:04:34:049348,534,120,116
12:04:34:293810,535,106,181
12:04:34:516840,536,119,168
12:04:34:775909,537,122,147
12:04:35:007329,538,122,150
12:04:35:278157,539,113,158
12:04:35:514389,540,114,166
12:04:35:738146,541,107,180
12:04:35:978991,542,118,176
12:04:36:230532,543,118,142
12:04:36:461430,544,118,84
12:04:36:708973,545,116,71
12:04:36:946106,546,115,72
12:04:37:204474,547,115,71
12:04:37:445077,548,110,113
12:04:37:694084,549,116,158
12:04:37:916879,550,119,165
