time,Index,Throttle_PWM,Steering_PWM
12:00:57:785600,186,121,154
12:00:58:001923,187,119,163
12:00:58:222432,188,111,179
12:00:58:443431,189,121,180
12:00:58:662816,190,121,168
12:00:58:885073,191,121,144
12:00:59:103151,192,121,142
12:00:59:332409,193,121,135
12:00:59:539486,194,117,83
12:00:59:745007,195,121,75
12:00:59:958694,196,118,81
12:01:00:176380,197,95,144
12:01:00:396398,198,112,176
12:01:00:610876,199,121,172
12:01:00:811637,200,122,162
12:01:01:035108,201,121,158
12:01:01:245149,202,122,157
12:01:01:459122,203,99,180
12:01:01:668901,204,111,180
12:01:01:878954,205,120,168
12:01:02:081904,206,121,141
12:01:02:287051,207,106,62
12:01:02:487434,208,114,56
12:01:02:713685,209,123,79
12:01:02:928829,210,124,83
12:01:03:140602,211,103,133
12:01:03:356754,212,119,150
12:01:03:566942,213,121,177
12:01:03:796262,214,116,180
12:01:04:020064,215,121,168
12:01:04:246288,216,119,162
12:01:04:459103,217,119,161
12:01:04:679462,218,119,163
12:01:04:884932,219,121,154
12:01:05:108683,220,124,97
12:01:05:338926,221,124,84
12:01:05:564979,222,103,84
12:01:05:783356,223,91,95
12:01:05:982589,224,115,168
12:01:06:193531,225,117,172
12:01:06:390296,226,122,153
12:01:06:615636,227,116,177
12:01:06:839814,228,118,168
12:01:07:047860,229,109,157
12:01:07:260301,230,110,180
12:01:07:469870,231,121,179
12:01:07:661478,232,120,180
12:01:07:869911,233,119,105
12:01:08:090065,234,120,72
12:01:08:301470,235,119,70
12:01:08:528462,236,120,84
12:01:08:748465,237,119,111
12:01:08:958388,238,114,168
12:01:09:175902,239,121,169
12:01:09:399018,240,122,169
12:01:09:620051,241,116,168
12:01:09:824239,242,117,170
12:01:10:033506,243,116,169
12:01:10:239568,244,119,169
12:01:10:450139,245,119,168
12:01:10:676868,246,121,84
12:01:10:903865,247,121,84
12:01:11:116303,248,119,100
12:01:11:336428,249,110,91
12:01:11:547476,250,100,151
12:01:11:760346,251,116,158
12:01:11:982278,252,124,147
12:01:12:187772,253,124,152
12:01:12:406647,254,109,171
12:01:12:621169,255,119,169
12:01:12:850576,256,121,165
